Model,Precision,Recall,F1 Score,mAP,FPS
YOLO,0.0025815217391304346,0.00025209972534398343,0.0004593421736555176,0.003670046584086948,2.9036933484949827
RT-DETR,0.0010822510822510823,0.0006236151100614327,0.000791279094237973,0.005933090122264267,0.44352609310701263
